送料はいくら？,こちらの商品はオンライン限定商品のため、送料は一切かかりません。安心してご注文いただけますので、どうぞお気軽にご利用ください。
会員登録の方法,会員登録はトップページのアカウントアイコンから「初めての方はこちら」を選択し、アカウントを作成してください。
パスワード再設定方法,"パスワードをお忘れですか？パスワードを忘れた方はトップページのアカウントアイコンから""パスワードを忘れた方はこちら""からリセットできるようになります。"
商品を返品したい,大変申し訳ありませんが、商品の返品は受け付けておりません。ご購入前に商品情報をご確認いただき、ご理解の上でご注文いただきますようお願い申し上げます。
支払い方法,"JCB, Visa, Mastercard, Apple Pay, Google Payに対応しています。"
注文履歴の確認,マイアカウントから注文履歴を確認できます。注文履歴はトップページのプロフィールアイコンから見ることができます。
記事のオフライン保存方法について,申し訳ありません。現在、記事のオフライン保存には対応しておりません。
ポイントとは何ですか？,ポイントを貯めると、記事を読むことができます。ぜひ、ポイントを貯めて、サイトをお楽しみください。
フォントサイズを変更したい,右上のフォントサイズ変更ボタンを押すと、フォントサイズを調整できます。
利用料金はかかる？,ほとんどの記事はポイントで閲覧できます。ポイントを貯めて、お気に入りの記事をお楽しみください。
ログアウトしたい,トップページのログアウトアイコンをクリックすることで、ログアウトできます。
注文履歴の確認,マイアカウントから注文履歴を確認できます。注文履歴はトップページのプロフィールアイコンから確認できます。
記事の閲覧方法,ご購入いただいた記事は、トップページのプロフィールアイコンをクリックし、そこから表示される「読みたい記事」を選択することで閲覧できます。
カートから商品を削除する方法,カート内の商品を削除する場合は、削除したい商品の横にあるゴミ箱アイコンをクリックしてください。
ポイントの使用方法,ショッピングカート画面にて、ご希望のポイント数を入力することでご利用いただけます。
アカウント作成方法,サイトのトップページの右上にあるアカウントアイコンをクリックし、必要情報を入力してください。
出品方法,サイドバーの出品アイコンから出品できます。
商品を検索するにはどうすればよいですか？,サイドバーにある虫眼鏡アイコンをクリックすると、ご希望の商品を検索できます。
アカウント作成の利点,アカウントを作成すると、商品の購入や出品が可能になります。また、ポイントを利用して記事を読むこともでき、お得です。ぜひアカウントを作成して、サービスをお楽しみください。
ポイント獲得方法,クイズに答えることでポイントがたまります。正解するとより多くのポイントが得られるので、積極的に挑戦してみてください。
プロフィール編集方法,プロフィール画面から登録情報を変更できます。
本を購入する方法,サイトにログイン後、購入希望の書籍をカートに追加し、決済手続きをお願いいたします。
電子書籍ダウンロード方法は？,現在、書籍のダウンロードには対応しておりません。
電子書籍の返品は可能ですか？,電子書籍は性質上、返品を承っておりません。万が一、ファイルに問題がある場合は、サポートセンターまでご連絡ください。
電子書籍を読むためのアプリは？,サイト内からいつでも読むことができます。
アカウント作成方法,サイトのトップページの右上にあるアカウントアイコンをクリックし、必要情報を入力してください。
電子書籍は複数のデバイスで読めますか？,はい、購入された電子書籍は、様々なデバイスでご利用いただけます。
電子書籍が表示されない問題を解決するには？,お買い上げいただいた電子書籍が表示されない場合は、お手数ですが、再度アカウントにログイン後、購入履歴ページをご確認ください。もし問題が解決しない場合は、お気軽にご連絡ください。サポートチームが対応いたします。
電子書籍のおすすめは？,トップページの「おすすめ」セクションをご覧ください。
電子書籍のサンプル閲覧は可能？,はい、対象書籍には無料サンプルが提供されています。
電子書籍は印刷可能ですか？,著作権保護の観点から、電子書籍の印刷は制限されている場合があります。詳細については、電子書籍の提供元にご確認ください。
購入履歴の確認方法,アカウントページの「購入履歴」タブよりご確認いただけます。
メールアドレス変更方法,誠に恐れ入りますが、現在メールアドレスの変更には対応しておりません。
パスワード再設定の方法,"ログインページの""パスワードをお忘れですか？""リンクからパスワードを再設定してください。"
海外から利用可能ですか？,はい、世界中どこからでもご利用いただけます。
電子書籍の著作権は？,電子書籍は個人利用に限定され、再配布は禁止されています。
電子書籍のギフト購入は可能ですか？,現時点では、電子書籍のギフト機能は提供されておりません。
子供向け電子書籍?,はい、キッズセクションをご覧ください。
電子書籍の削除について,利用規約違反がない限り、購入された電子書籍が削除されることはございません。
電子書籍の容量は？,電子書籍はクラウド上に保存されるため、容量を気にする必要はありません。
年齢制限はありますか？,はい、18歳以上の方のみご利用いただけます。
キャンペーン情報の確認方法,トップページの「キャンペーン」セクションにてご確認いただけます。
電子書籍はオフラインで読めますか？,いいえ、オフラインでの書籍閲覧はできません。
ポイントの使い方,ポイントは、商品購入時の割引に利用できます。
電子書籍の利用期間は？,電子書籍は購入後、無期限でご利用いただけます。
ダウンロード制限はありますか？,申し訳ありません。書籍のダウンロードには対応しておりません。
キャンセル可能？,購入後のキャンセルはできません。
アカウント削除手順,アカウント設定ページより削除手続きを行ってください。
購入履歴のプライバシー保護設定は可能ですか？,はい、プライバシー設定により購入履歴を非表示に設定できます。
お気に入りリストの作成方法,商品ページにある「お気に入りに追加」ボタンをクリックしてください。
検索方法,検索バーにキーワードを入力し、Enterキーを押してください。
商品をまとめて購入できますか？,はい、カートに追加することで、複数の商品をまとめてご購入いただけます。
ポイントの有効期限は？,ご安心ください。ポイントの有効期限はございません。
本のジャンルは何がありますか？,フィクション、ノンフィクション、教育、ビジネスなど、多岐にわたるジャンルの書籍を取り揃えております。
レビューの投稿方法,商品の詳細ページからレビューを投稿できます。
電子書籍の購入特典は？,特定のキャンペーン時に特典が付与される場合があります。
複数アカウントの作成は可能ですか？,はい、複数のアカウントを作成することは可能です。ただし、アカウント間での商品の共有はできません。
電子書籍の価格,価格は商品の詳細ページからご確認ください。
学生割引の有無,誠に恐れ入りますが、現在、学生割引は実施しておりません。
電子書籍の削除は可能ですか？,購入した電子書籍は、完全な削除はできません。
人気の本は？,トップページの「ランキング」セクションをご覧ください。
返品ポリシーの確認方法,ご質問ありがとうございます。誠に恐れ入りますが、返品につきましては、いかなる場合でもお受け致しかねますので、ご了承ください。
必要なインターネット速度は？,最低5Mbps以上のインターネット接続速度を推奨いたします。
電子書籍の家族共有は可能ですか？,電子書籍を家族間で共有することはできません。
本を自動で整理できますか？,本の並び替え機能がございます。
著者名で書籍を検索するには？,検索バーに著者名を入力して検索してください。
プレビュー機能の使用方法,商品の詳細ページにアクセスし、「プレビューを見る」ボタンをクリックしてください。
ページ数の確認は可能ですか？,ページ数の記載はありませんが、商品ページに文字数が表示されています。
電子書籍の翻訳版はありますか？,はい、一部の電子書籍では翻訳版をご提供しております。
ユーザーを絞って検索するには？,検索バーにユーザー名を入力してください。
漫画を買うことはできますか？,はい、漫画カテゴリーをご覧ください。
電子書籍のバージョン更新について,購入後に電子書籍のバージョンが更新された場合は自動で最新のものを閲覧できます。
最適なブラウザは？,Google ChromeまたはMicrosoft Edgeを推奨いたします。
購入履歴をPDFで保存できますか？,現在、購入履歴のエクスポートには対応しておりません。
読了済みの本を非表示にする方法,読み終わった本などを非表示にする機能は現在対応しておりません。
特定のデバイスでのみ利用できる書籍は？,すべての書籍はすべてのデバイスで読むことができます。
電子書籍 しおり機能,現在しおり機能は対応しておりませんが開発中です！もうしばらくお待ちください。
本のカテゴリは変更可能ですか？,出品時にカテゴリを選択できます。
書籍のリストを共有できますか？,リストの共有はできません。
DRMとは？,DRM（デジタル著作権管理）は、書籍などのコンテンツの不正コピーを防止するために導入されています。
シリーズ本のまとめ買いは可能ですか？,シリーズのセット商品が提供されている場合は、まとめて購入することが可能です。
電子書籍のサンプルを印刷したい,サンプルの印刷はサポートしておりません
ダークモードにしたい,ダークモードには対応しておりません。ブラウザの拡張機能の使用をご検討ください。
検索履歴の削除,アカウント設定から削除できます。
新刊通知のジャンル指定は可能？,現時点では未対応ですが、今後のアップデートで実装予定です。
国によって本の購入可否は異なる？,いいえ、すべての書籍はすべての国で入手可能です。
かきっことは？,「かきっこ」とは、オンライン上で書籍を販売するウェブサイトです。
お金をチャージしたい,トップページのチャージアイコンからチャージすることができます
チャットが相手に届かない,名前が間違っているかもしれません。もう一度相手のユーザー名があっているか確認してください。
コメントを消したい,商品に付けられたコメントは原則削除することはできません。かきっこの利用規約に反している場合は削除されることもあります。
書籍のジャンル別で見たい,検索画面にて見たいカテゴリにチェックを入れるとジャンル別に見ることができます。
